currentMoney,towersPlaced,enemiesSpawned,enemiesKilled,projectilesFired
1200,0,0,0,0
1200,0,1,0,0
1200,0,1,0,0
1200,0,1,0,0
1200,0,1,0,0
1205,0,1,0,1
505,1,1,0,2
510,1,2,0,2
510,1,2,0,3
515,1,2,0,3
520,1,2,0,4
520,1,2,0,4
520,1,2,0,5
525,1,3,0,5
530,1,3,0,6
530,1,3,0,6
535,1,3,0,7
535,1,3,0,7
540,1,3,0,8
540,1,4,0,8
545,1,4,0,9
545,1,4,0,9
550,1,4,0,10
550,1,4,0,10
555,1,4,0,11
555,1,5,0,11
560,1,5,0,12
560,1,5,0,12
665,1,5,1,13
665,1,5,1,13
670,1,5,1,14
670,1,6,1,14
775,1,6,2,15
780,1,6,2,16
90,2,6,2,18
90,2,6,2,18
200,2,6,3,20
200,2,7,3,20
210,2,7,3,22
210,2,7,3,22
320,2,7,4,24
320,2,7,4,24
330,2,7,4,26
330,2,8,4,26
340,2,8,4,28
340,2,8,4,28
450,2,8,5,30
450,2,8,5,30
460,2,8,5,32
460,2,9,5,32
470,2,9,5,34
470,2,9,5,34
480,2,9,5,36
480,2,9,5,36
490,2,9,5,38
490,2,10,5,38
500,2,10,5,40
500,2,10,5,40
610,2,10,6,42
610,2,10,6,42
720,2,10,7,44
725,2,11,7,45
40,3,11,7,48
40,3,11,7,48
155,3,11,8,51
155,3,11,8,51
370,3,11,10,54
370,3,12,10,54
480,3,12,11,57
480,3,12,11,57
490,3,12,11,60
495,3,12,11,60
600,3,12,12,63
600,3,13,12,63
610,3,13,12,66
615,3,13,12,66
725,3,13,13,68
25,4,13,13,68
25,4,13,13,68
40,4,14,13,72
45,4,14,13,72
150,4,14,14,76
150,4,14,14,76
150,4,14,14,76
150,4,14,14,76
170,4,15,14,80
170,4,15,14,80
275,4,15,15,84
275,4,15,15,84
275,4,15,15,84
275,4,15,15,84
295,4,16,15,88
295,4,16,15,88
400,4,16,16,92
400,4,16,16,92
400,4,16,16,92
400,4,16,16,92
420,4,17,16,96
420,4,17,16,96
525,4,17,17,100
525,4,17,17,100
525,4,17,17,100
525,4,17,17,100
545,4,18,17,104
545,4,18,17,104
650,4,18,18,108
650,4,18,18,108
650,4,18,18,108
650,4,18,18,108
670,4,19,18,112
670,4,19,18,112
775,4,19,19,116
75,5,19,19,116
75,5,19,19,116
75,5,19,19,116
200,5,20,20,121
200,5,20,20,121
200,5,20,20,121
200,5,20,20,121
200,5,20,20,121
200,5,20,20,121
325,5,21,21,126
325,5,21,21,126
325,5,21,21,126
325,5,21,21,126
325,5,21,21,126
325,5,21,21,126
450,5,22,22,131
450,5,22,22,131
450,5,22,22,131
